"0","#files"
"0","CARD_MDR_files <- paste(MDR_IDs, ""_card.txt"", sep = """")"
"0","CARD_MDR <- list()"
"0",""
"0","#loop to add all files in folder to one R object"
"0","for (x in CARD_MDR_files) {"
"0","  file_path <- file.path(CARD_folder, x)"
"0","  if (file.exists(file_path)) {"
"0","   CARD_MDR[[x]] <- read.table(file_path, header = TRUE, sep = ""\t"", fill = TRUE, comment = """")"
"0"," }"
"0","}"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: incomplete final line found by readTableHeader on 'inputs/card_files/UF-347_card.txt'"
"2","Warning: EOF within quoted string"
"2","Warning: incomplete final line found by readTableHeader on 'inputs/card_files/UF-413_card.txt'"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"2","Warning: EOF within quoted string"
"0","#removes files with zero hits and say which have zero"
"0","removed_dfs <- names(CARD_MDR)[sapply(CARD_MDR, nrow) < 1]"
"0","if (length(removed_dfs) > 0) {"
"0","  cat(""Isolates that have no CARD genes detected:"", paste(removed_dfs, collapse = "", ""), ""\n"")"
"0","} else {"
"0","  cat(""All MDR isolates contained CARD genes according to CARD.\n"")"
"0","}"
"1","All MDR isolates contained CARD genes according to CARD.
"
"0","#combine dataframes and add a column indicating their origin"
"0","combined_CARD_MDR <- map_dfr(names(CARD_MDR), function(df_name) {"
"0","  CARD_MDR[[df_name]] %>%"
"0","    mutate(across(everything(), as.character), # Convert specific column to character"
"0","           ""Isolate_ID"" = sub(""_card.txt"", """", df_name))"
"0","})"
"0",""
"0",""
